AIDP,ID,GENDER,NATIONALITY,MOHAFAZA,MAJOR_DESC,UG/GR,Med Student (Yes/No),New Student (Yes/No),GPA,Column1,TUITION,FATHER_STATUS,FATHER_JOB_STATUS,FATHER_INCOME,MOTHER_STATUS,MOTHER_JOB_STATUS,MOTHER_INCOME,SIBLING_AUB,SIBLING_UNIVERSITY,SIBLING_SCHOOL,TOTAL_SIBLING_INCOME,OTHER_RESOURCE,Othere resources (yes/no),STUDENT_STATMENT,Student statement (applicaple/non applicable),PERC,Main priorities,High/low priorities,ACAD_STAND
FA,1,F,Lebanon,Mount Lebanon,Biology,UG,No,Yes,,,10075,Married,Self-Employed,125000,Married,Never Worked,0,0,1,1,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2,M,Lebanon,Mount Lebanon,Health Communication,UG,No,Yes,,,12210,Married,Employed,46000,Married,Employed,25600,0,0,0,14000,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,3,F,Lebanon,Beirut,Nursing,UG,No,Yes,,,8764,Divorced,Self-Employed,19800,Married,Employed,12000,0,0,1,0,"
family help(uncle)same source of family annual contribution",yes,"Due to some family issues, my father is the only one who takes care of my brother and I financially.(my mother does not support us financially)
note: I used the dollar rate at $=1,500 L.L",applicable,0,priority 4,0,Good Standing
FA,4,M,Lebanon,Mount Lebanon,Applied Mathematics,UG,No,Yes,,,11625,Married,Self-Employed,35940,Married,Employed,33600,1,0,1,0,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,5,M,Lebanon,Mount Lebanon,Computer & Communications Eng.,UG,No,Yes,,,13110,Married,Employed,12932,Married,UnEmployed,0,0,0,2,0,"506-4 / 1 Room Rented / Chiah
Inherited from my grandfather 
Old apartment / The rental agreement is old and difficult to be sold or cleared due to law restrictions.",yes,none,non applicable,20,priority 3,0,Good Standing
FA,6,F,Lebanon,Bekaa,Civil Engineering,UG,No,Yes,,,13110,Married,Self-Employed,46666,Married,UnEmployed,0,1,0,3,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,7,M,Lebanon,Beirut,Business Administration,UG,No,Yes,,,12690,Married,Employed,23112,Married,Employed,6000,1,0,1,0,"
Educational benefits",yes,none,non applicable,25,priority 3,0,Good Standing
FA,8,M,Lebanon,Aakkar,Mechanical Engineering,UG,No,Yes,,,13110,Married,Self-Employed,38820,Married,Employed,49550,0,0,2,0,none,no,"
Father is a Multiple Sclerosis (MS) patient since 2009.",applicable,50,priority 2,1,Good Standing
FA,9,M,Lebanon,Beirut,Computer Science,UG,No,Yes,,,11625,Married,Employed,115500,Married,UnEmployed,0,0,1,0,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,10,F,Lebanon,Mount Lebanon,Finance,GR,No,Yes,,,6378,Married,UnEmloyed,0,Married,UnEmployed,0,0,0,0,16225,Scholarships,yes,none,non applicable,0,priority 4,0,Good Standing
FA,11,M,Lebanon,Mount Lebanon,Computer & Communications Eng.,UG,No,Yes,,,13110,Married,Employed,43544,Married,Never Worked,0,0,0,3,0,"
educational benefits from isf",yes,none,non applicable,20,priority 3,0,Good Standing
FA,12,M,Lebanon,South,Computer & Communications Eng.,UG,No,Yes,,,13110,Divorced,Employed,35000,Divorced,Never Worked,0,0,0,1,0,none,no,none,non applicable,30,priority 3,0,Good Standing
FA,13,M,Lebanon,Mount Lebanon,Computer & Communications Eng.,UG,No,Yes,,,13110,Divorced,Employed,33555,Divorced,UnEmployed,0,1,1,0,0,"
Lebanese Army educational fees",yes,none,non applicable,0,priority 4,0,Good Standing
FA,14,M,Lebanon,Beirut,Economics,UG,No,Yes,,,10965,Deceased,UnEmloyed,0,Widowed,Never Worked,0,0,0,1,0,Family help,yes,none,non applicable,25,priority 3,0,Good Standing
FA,15,F,Lebanon,Mount Lebanon,Biology,UG,No,Yes,,,11625,Married,Employed,54000,Married,UnEmployed,0,1,0,0,0,none,no,none,non applicable,30,priority 3,0,Good Standing
FA,16,M,Lebanon,Beirut,Computer Science,UG,No,Yes,,,11625,Married,Employed,31000,Married,Employed,114792,1,0,0,0,Educational benefits,yes,none,non applicable,0,priority 4,0,Good Standing
FA,17,M,Lebanon,Mount Lebanon,Computer Science,UG,No,No,79.1,B+,11625,Married,Employed,33514,Married,Employed,23710,1,0,0,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,18,M,Lebanon,Mount Lebanon,Electrical & Computer Eng'g,UG,No,Yes,,,13110,Married,Self-Employed,47000,Married,UnEmployed,0,0,0,1,0,none,no,none,non applicable,50,priority 2,1,Good Standing
FA,19,M,Lebanon,Mount Lebanon,Biology,UG,No,Yes,,,11625,Married,Employed,52000,Married,UnEmployed,0,0,0,2,0,retirement salary,yes,none,non applicable,45,priority 2,1,Good Standing
FA,20,F,Lebanon,Beirut,Medical Imaging Sciences,UG,No,Yes,,,11396,Married,Employed,36000,Married,UnEmployed,0,0,1,0,0,none,no,none,non applicable,35,priority 3,1,Good Standing
FA,21,M,Lebanon,Nabatieh,Computer Science,UG,No,No,2.4,B-,11625,Married,Employed,25405,Married,UnEmployed,0,1,0,2,0,Educational benefits,yes,none,non applicable,20,priority 3,0,Good Standing
FA,23,F,United States of America,n/a,Computer & Communications Eng.,UG,No,Yes,,,13110,Married,Employed,89000,Married,UnEmployed,0,0,0,1,0,Educational grants from employer (UN) up to 75%,yes,none,non applicable,20,priority 3,0,Good Standing
